epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.332,1.63718,2.36236,2.25445,0.45447,0.25068,0.3273,0.24019,0.83144,2.54808,1.1721,0.000362927,0.000362927,0.000362927
2,320.103,1.0736,1.55552,1.79404,0.76602,0.50453,0.54389,0.38185,0.77242,1.30562,1.27767,0.000724186,0.000724186,0.000724186
3,477.468,0.9568,1.43109,1.71474,0.57434,0.44121,0.29873,0.24331,0.61941,5.18906,0.99559,0.00107628,0.00107628,0.00107628
4,633.723,0.9516,1.34191,1.71171,0.78735,0.53552,0.59148,0.39934,0.89349,1.87412,1.32213,0.00106975,0.00106975,0.00106975
5,792.244,0.9047,1.28516,1.66741,0.5895,0.75852,0.64157,0.46924,0.85237,1.53145,1.24685,0.00105601,0.00105601,0.00105601
6,948.969,0.86417,1.21564,1.63502,0.7942,0.51409,0.58768,0.41945,0.73271,1.2417,1.15459,0.00104226,0.00104226,0.00104226
7,1108.07,0.84424,1.21526,1.6163,0.48681,0.68889,0.68814,0.52633,0.73541,0.98372,1.19929,0.00102851,0.00102851,0.00102851
8,1260.34,0.83211,1.15203,1.61577,0.49872,0.80466,0.64585,0.48339,0.89554,1.17904,1.34507,0.00101476,0.00101476,0.00101476
9,1416.71,0.82629,1.14729,1.60518,0.44522,0.75468,0.60205,0.43875,0.91591,1.15115,1.33499,0.00100101,0.00100101,0.00100101
10,1570.36,0.81996,1.1282,1.58601,0.53923,0.69799,0.62063,0.43838,0.98576,1.08408,1.46426,0.000987262,0.000987262,0.000987262
11,1723.96,0.78529,1.10524,1.55791,0.47326,0.80951,0.66974,0.4805,0.91831,1.19941,1.3641,0.000973514,0.000973514,0.000973514
12,1884.36,0.73894,1.04245,1.54705,0.51169,0.76094,0.7106,0.56181,0.74714,1.17345,1.12801,0.000959765,0.000959765,0.000959765
13,2047.78,0.69559,1.02324,1.49702,0.54617,0.66754,0.64742,0.51322,0.74227,1.07038,1.23591,0.000946016,0.000946016,0.000946016
14,2201.89,0.68911,0.98917,1.48637,0.69377,0.63054,0.65984,0.51299,0.75763,1.01587,1.11342,0.000932268,0.000932268,0.000932268
15,2364.99,0.72036,1.00693,1.5281,0.81169,0.65624,0.73574,0.59899,0.69574,0.90099,1.15029,0.000918519,0.000918519,0.000918519
16,2535.95,0.72414,0.99358,1.52811,0.54349,0.78747,0.72988,0.51734,0.92249,1.12983,1.30459,0.000904771,0.000904771,0.000904771
17,2694.41,0.68491,0.97454,1.48762,0.64717,0.79831,0.75441,0.60988,0.76536,0.96058,1.12971,0.000891022,0.000891022,0.000891022
18,2852.65,0.69936,0.99726,1.50668,0.54554,0.74883,0.66276,0.44163,1.02505,1.43657,1.77688,0.000877273,0.000877273,0.000877273
19,3007.81,0.66704,0.97675,1.4677,0.57384,0.63526,0.66111,0.51358,0.80232,1.33205,1.23,0.000863525,0.000863525,0.000863525
20,3182.72,0.64122,0.94061,1.45151,0.56684,0.83123,0.70783,0.57952,0.74287,1.20716,1.1755,0.000849776,0.000849776,0.000849776
21,3343.25,0.63759,0.92382,1.45122,0.5354,0.7402,0.69258,0.55899,0.70451,1.0349,1.07531,0.000836027,0.000836027,0.000836027
22,3496.79,0.62962,0.89937,1.43356,0.63971,0.76068,0.71946,0.54024,0.82415,1.05505,1.47642,0.000822279,0.000822279,0.000822279
23,3650.34,0.6361,0.88979,1.44517,0.59655,0.7001,0.66034,0.51501,0.83572,1.06745,1.18225,0.00080853,0.00080853,0.00080853
24,3813.19,0.64208,0.90109,1.45053,0.68679,0.73433,0.7276,0.58536,0.74858,0.97619,1.14904,0.000794782,0.000794782,0.000794782
25,3978.56,0.60525,0.87975,1.41537,0.63462,0.82148,0.73978,0.60337,0.68342,0.8241,1.16874,0.000781033,0.000781033,0.000781033
26,4134.93,0.64487,0.8977,1.45727,0.6858,0.77515,0.74083,0.58852,0.68428,0.85025,1.10145,0.000767284,0.000767284,0.000767284
27,4294.55,0.61532,0.85339,1.42116,0.63724,0.72205,0.71256,0.58475,0.64814,0.82242,1.05464,0.000753536,0.000753536,0.000753536
28,4450.1,0.61603,0.87731,1.42361,0.65019,0.74167,0.76073,0.60266,0.70837,1.02329,1.08367,0.000739787,0.000739787,0.000739787
29,4610.47,0.60119,0.87967,1.41972,0.67458,0.74977,0.71666,0.59149,0.64195,0.85897,1.04865,0.000726038,0.000726038,0.000726038
30,4769.3,0.59113,0.85515,1.41467,0.63491,0.80867,0.75505,0.60857,0.70848,1.00773,1.08018,0.00071229,0.00071229,0.00071229
31,4921.53,0.58435,0.83242,1.40231,0.58338,0.73945,0.69125,0.52368,0.80273,1.13943,1.16368,0.000698541,0.000698541,0.000698541
32,5083.21,0.5981,0.84717,1.425,0.70122,0.80457,0.77384,0.6569,0.67937,0.82283,1.07068,0.000684793,0.000684793,0.000684793
33,5236.03,0.58161,0.81878,1.40599,0.69339,0.72734,0.7533,0.59025,0.77566,0.99661,1.30919,0.000671044,0.000671044,0.000671044
34,5397.49,0.59403,0.82109,1.41648,0.66392,0.65237,0.67019,0.54259,0.65454,1.02717,1.08547,0.000657295,0.000657295,0.000657295
35,5551.11,0.56394,0.80404,1.38435,0.68395,0.8457,0.77461,0.63512,0.65773,0.84715,1.04485,0.000643547,0.000643547,0.000643547
36,5703.5,0.54298,0.76585,1.36364,0.70513,0.80434,0.76116,0.62744,0.64031,0.77387,1.06086,0.000629798,0.000629798,0.000629798
37,5856.17,0.53846,0.76624,1.37856,0.74086,0.78626,0.78798,0.67346,0.58342,0.74006,0.99239,0.000616049,0.000616049,0.000616049
38,6007.02,0.55177,0.82079,1.37018,0.73554,0.83023,0.80802,0.63256,0.64492,0.922,1.00453,0.000602301,0.000602301,0.000602301
39,6164.02,0.53873,0.79322,1.36754,0.75275,0.73778,0.79946,0.63437,0.62414,0.83093,0.92752,0.000588552,0.000588552,0.000588552
40,6317.54,0.5522,0.78055,1.38297,0.71686,0.73557,0.7785,0.66574,0.53511,0.7703,0.86395,0.000574804,0.000574804,0.000574804
41,6478.39,0.54752,0.77039,1.37766,0.74302,0.77943,0.77492,0.6776,0.55355,0.70301,0.92605,0.000561055,0.000561055,0.000561055
42,6636.81,0.54065,0.75947,1.37214,0.68735,0.78795,0.75987,0.64749,0.51311,0.73192,0.85404,0.000547306,0.000547306,0.000547306
43,6792.85,0.5224,0.75371,1.34639,0.73665,0.73946,0.79449,0.66734,0.56767,0.76165,0.87065,0.000533558,0.000533558,0.000533558
44,6942.24,0.51476,0.73774,1.34165,0.70508,0.72371,0.77306,0.64466,0.62825,0.82176,0.95366,0.000519809,0.000519809,0.000519809
45,7114.6,0.51918,0.75558,1.35639,0.75196,0.75643,0.79109,0.68371,0.55434,0.72483,0.90658,0.00050606,0.00050606,0.00050606
46,7271.32,0.55129,0.76641,1.36914,0.68895,0.83306,0.78247,0.65014,0.5762,0.89678,0.9317,0.000492312,0.000492312,0.000492312
47,7422.38,0.50405,0.71463,1.33704,0.72015,0.7635,0.76788,0.63789,0.65951,0.79951,1.04704,0.000478563,0.000478563,0.000478563
48,7584.46,0.56491,0.77261,1.38399,0.71055,0.81789,0.79593,0.65023,0.66624,0.84531,1.04764,0.000464815,0.000464815,0.000464815
49,7738.58,0.48146,0.69047,1.31144,0.71438,0.80655,0.79083,0.66627,0.58783,0.72523,0.96801,0.000451066,0.000451066,0.000451066
50,7895.95,0.48184,0.70709,1.32031,0.71021,0.80161,0.79938,0.67729,0.6259,0.86773,0.99048,0.000437317,0.000437317,0.000437317
51,8048.28,0.4775,0.69009,1.30492,0.68022,0.82177,0.79047,0.65533,0.58157,0.75396,0.95155,0.000423569,0.000423569,0.000423569
52,8202.68,0.50281,0.72192,1.33906,0.66396,0.79626,0.76045,0.61932,0.5252,0.7579,0.84726,0.00040982,0.00040982,0.00040982
53,8356.68,0.46057,0.68188,1.30476,0.68553,0.78976,0.74967,0.64114,0.56632,0.81352,0.89747,0.000396071,0.000396071,0.000396071
54,8516.29,0.45699,0.69197,1.29323,0.71442,0.81036,0.79164,0.66968,0.57998,0.76656,0.94208,0.000382323,0.000382323,0.000382323
55,8669.81,0.46187,0.67269,1.30536,0.68973,0.77121,0.76009,0.65525,0.57274,0.78577,0.91319,0.000368574,0.000368574,0.000368574
56,8822.87,0.48154,0.68408,1.32031,0.68858,0.86263,0.79389,0.66511,0.59949,0.74822,0.97024,0.000354826,0.000354826,0.000354826
57,8974.57,0.45079,0.67346,1.29746,0.69457,0.8237,0.78919,0.67486,0.56988,0.7537,0.91783,0.000341077,0.000341077,0.000341077
58,9130.34,0.46636,0.68624,1.29983,0.7366,0.81078,0.80386,0.67805,0.57745,0.79097,0.93231,0.000327328,0.000327328,0.000327328
59,9284.3,0.46214,0.66263,1.30376,0.75889,0.8373,0.82375,0.67095,0.62186,0.81068,1.00114,0.00031358,0.00031358,0.00031358
60,9437.31,0.47342,0.68756,1.31486,0.69057,0.77307,0.77327,0.64358,0.57891,0.83144,0.92447,0.000299831,0.000299831,0.000299831
61,9591.7,0.4508,0.65565,1.28401,0.74748,0.82662,0.82239,0.66494,0.63788,0.84051,0.99965,0.000286083,0.000286083,0.000286083
62,9746.28,0.43049,0.65443,1.27254,0.76261,0.78655,0.8238,0.68726,0.59226,0.73376,0.94758,0.000272334,0.000272334,0.000272334
63,9899.02,0.46956,0.66624,1.30832,0.7133,0.80074,0.81519,0.68101,0.52017,0.69345,0.85846,0.000258585,0.000258585,0.000258585
64,10054.3,0.45812,0.66913,1.2996,0.76571,0.82438,0.82743,0.70145,0.49248,0.70503,0.81609,0.000244837,0.000244837,0.000244837
65,10216,0.45866,0.66673,1.29548,0.74058,0.81704,0.83131,0.67989,0.58627,0.74802,0.95494,0.000231088,0.000231088,0.000231088
66,10376,0.44815,0.65574,1.29996,0.70943,0.82745,0.811,0.66842,0.57354,0.81377,0.91502,0.000217339,0.000217339,0.000217339
67,10534.5,0.46004,0.65691,1.30703,0.76233,0.77796,0.82162,0.66749,0.63346,0.84045,1.00791,0.000203591,0.000203591,0.000203591
68,10686.3,0.43802,0.63658,1.27219,0.7887,0.81725,0.838,0.68809,0.57764,0.81178,0.91308,0.000189842,0.000189842,0.000189842
69,10839.4,0.44177,0.64867,1.29136,0.78964,0.74868,0.83232,0.68118,0.5165,0.76893,0.82408,0.000176094,0.000176094,0.000176094
70,10995.4,0.41056,0.61064,1.26841,0.7628,0.79783,0.8201,0.68788,0.543,0.71912,0.84887,0.000162345,0.000162345,0.000162345
71,11147.2,0.15417,0.50399,1.14718,0.75079,0.76792,0.81114,0.68458,0.49089,0.81326,0.78679,0.000148596,0.000148596,0.000148596
72,11306.5,0.14844,0.42227,1.13996,0.76396,0.81676,0.81605,0.71502,0.43307,0.73249,0.72969,0.000134848,0.000134848,0.000134848
73,11459.1,0.13501,0.40313,1.13638,0.72596,0.85372,0.80645,0.70227,0.44632,0.70481,0.74855,0.000121099,0.000121099,0.000121099
74,11613.1,0.14305,0.39181,1.14061,0.74757,0.85643,0.82206,0.69779,0.47732,0.70945,0.78155,0.00010735,0.00010735,0.00010735
75,11766,0.12784,0.39534,1.1193,0.73631,0.86336,0.82833,0.69847,0.48144,0.68626,0.78413,9.36017e-05,9.36017e-05,9.36017e-05
