epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9453.73,0.51694,0.69902,1.34804,0.70671,0.77964,0.78528,0.62425,0.61513,0.86748,0.89748,0.000547306,0.000547306,0.000547306
43,9670.66,0.50046,0.71231,1.32727,0.70989,0.76733,0.79964,0.57667,0.76286,0.90613,1.05987,0.000533558,0.000533558,0.000533558
44,9888.41,0.49591,0.68785,1.32322,0.74377,0.85367,0.81807,0.66595,0.56581,0.80256,0.86589,0.000519809,0.000519809,0.000519809
45,10103.4,0.50382,0.68576,1.34142,0.70328,0.82632,0.78324,0.62404,0.59443,0.73233,0.92305,0.00050606,0.00050606,0.00050606
46,10318.2,0.49632,0.68225,1.33326,0.77604,0.85797,0.84993,0.69613,0.60135,0.6783,0.94175,0.000492312,0.000492312,0.000492312
47,10533.3,0.48614,0.66081,1.31055,0.72294,0.80211,0.79675,0.62241,0.53014,0.76397,0.78305,0.000478563,0.000478563,0.000478563
48,10748.4,0.50724,0.69747,1.33984,0.7935,0.87471,0.81679,0.66061,0.55355,0.71853,0.83264,0.000464815,0.000464815,0.000464815
49,10964.7,0.48394,0.67525,1.3153,0.75763,0.8109,0.80357,0.67689,0.51332,0.7356,0.80758,0.000451066,0.000451066,0.000451066
50,11178.7,0.47368,0.65601,1.30321,0.81691,0.86238,0.85289,0.69508,0.46421,0.71207,0.76249,0.000437317,0.000437317,0.000437317
51,11392.6,0.49366,0.67437,1.32767,0.80022,0.87435,0.83587,0.68173,0.49607,0.69374,0.78481,0.000423569,0.000423569,0.000423569
52,11606.8,0.4766,0.66843,1.30901,0.75965,0.75984,0.82011,0.67355,0.51426,0.7207,0.77368,0.00040982,0.00040982,0.00040982
53,11821.9,0.46924,0.66924,1.30411,0.75602,0.77479,0.80763,0.64312,0.56293,0.74664,0.87655,0.000396071,0.000396071,0.000396071
54,12038.6,0.46903,0.64898,1.30711,0.77627,0.85316,0.82471,0.67378,0.48435,0.73458,0.7517,0.000382323,0.000382323,0.000382323
55,12376.7,0.45247,0.63748,1.28848,0.77331,0.89282,0.84945,0.69278,0.49354,0.66657,0.77379,0.000368574,0.000368574,0.000368574
56,12739.7,0.45878,0.63549,1.2925,0.7549,0.90308,0.855,0.6965,0.48369,0.66584,0.74839,0.000354826,0.000354826,0.000354826
57,13966,0.46226,0.63662,1.30091,0.79143,0.88754,0.87427,0.72037,0.44429,0.70728,0.70834,0.000341077,0.000341077,0.000341077
58,14212.4,0.45014,0.62871,1.28647,0.79108,0.8692,0.8742,0.70686,0.51599,0.76738,0.79218,0.000327328,0.000327328,0.000327328
59,14441.1,0.45184,0.62366,1.28973,0.86159,0.85777,0.89116,0.75159,0.44779,0.66921,0.72613,0.00031358,0.00031358,0.00031358
60,14657.1,0.43429,0.61318,1.26896,0.75445,0.88908,0.86557,0.72956,0.45634,0.70918,0.72714,0.000299831,0.000299831,0.000299831
61,14872.1,0.43701,0.62358,1.28074,0.82043,0.90154,0.90595,0.74168,0.46318,0.75683,0.76258,0.000286083,0.000286083,0.000286083
62,15097.5,0.43018,0.61189,1.27157,0.77074,0.87104,0.85744,0.71815,0.45428,0.73876,0.70904,0.000272334,0.000272334,0.000272334
63,15318.1,0.43747,0.62047,1.27275,0.83968,0.88562,0.91556,0.784,0.43321,0.74907,0.69651,0.000258585,0.000258585,0.000258585
64,15538.9,0.44315,0.61973,1.28497,0.80267,0.82233,0.83549,0.71713,0.446,0.72376,0.71434,0.000244837,0.000244837,0.000244837
65,15758.9,0.40975,0.59314,1.25658,0.86452,0.86741,0.92056,0.78323,0.44369,0.64493,0.72832,0.000231088,0.000231088,0.000231088
66,15980.9,0.42067,0.58617,1.25802,0.79626,0.89031,0.88266,0.75443,0.41992,0.71389,0.67307,0.000217339,0.000217339,0.000217339
67,16205.9,0.41172,0.59194,1.25038,0.83611,0.82087,0.86683,0.73054,0.45661,0.75036,0.71278,0.000203591,0.000203591,0.000203591
68,16428.8,0.42318,0.60504,1.26555,0.76396,0.89301,0.88026,0.7588,0.42335,0.70352,0.68646,0.000189842,0.000189842,0.000189842
69,16657.4,0.41454,0.59463,1.25635,0.81409,0.84553,0.88541,0.75251,0.46086,0.71857,0.73564,0.000176094,0.000176094,0.000176094
70,16921.7,0.39868,0.57651,1.23489,0.80489,0.91859,0.89756,0.77249,0.42403,0.70196,0.69229,0.000162345,0.000162345,0.000162345
71,17175.6,0.17562,0.37962,1.15988,0.84203,0.91461,0.87649,0.78573,0.39841,0.80041,0.66028,0.000148596,0.000148596,0.000148596
72,17395.6,0.17989,0.34386,1.14983,0.80371,0.86887,0.87583,0.79052,0.39843,0.80789,0.65262,0.000134848,0.000134848,0.000134848
73,17613.2,0.17506,0.33276,1.14598,0.82239,0.907,0.90945,0.81727,0.39112,0.72175,0.6686,0.000121099,0.000121099,0.000121099
74,17830.9,0.15758,0.32341,1.13357,0.85667,0.87105,0.88224,0.79206,0.41188,0.67418,0.68578,0.00010735,0.00010735,0.00010735
75,18051,0.1612,0.30321,1.13232,0.87774,0.90774,0.91413,0.81904,0.38888,0.69974,0.65236,9.36017e-05,9.36017e-05,9.36017e-05
76,18264,0.16086,0.29767,1.13223,0.84658,0.90779,0.89657,0.81787,0.37331,0.75461,0.61837,7.98531e-05,7.98531e-05,7.98531e-05
77,18477.1,0.15615,0.27835,1.13123,0.83401,0.93763,0.93946,0.83894,0.39695,0.75403,0.6447,6.61045e-05,6.61045e-05,6.61045e-05
78,18691.9,0.15053,0.27688,1.12711,0.81624,0.91686,0.90728,0.81725,0.38661,0.74535,0.63938,5.23559e-05,5.23559e-05,5.23559e-05
79,18907.1,0.14603,0.26836,1.12308,0.86019,0.89513,0.92273,0.83126,0.39028,0.75268,0.63927,3.86073e-05,3.86073e-05,3.86073e-05
80,19142.2,0.14555,0.26257,1.12219,0.85481,0.89195,0.93474,0.84095,0.39416,0.74891,0.64591,2.48586e-05,2.48586e-05,2.48586e-05
